Date,Open,High,Low,Close,Volume,Diff
2015-09-03,1102000,1123000,1093000,1122000,303343,30000
2015-09-02,1069000,1095000,1065000,1090000,312121,30000
2015-09-01,1089000,1098000,1081000,1085000,237062,17000
2015-08-31,1071000,1089000,1052000,1089000,406006,37000
2015-08-28,1086000,1086000,1073000,1081000,458340,13000
2015-08-27,1082000,1086000,1063000,1067000,491893,23000
2015-08-26,1068000,1074000,1050000,1067000,552568,24000
2015-08-25,1079000,1107000,1067000,1079000,389313,40000
2015-08-24,1088000,1115000,1033000,1079000,445868,82000
2015-08-21,1099000,1128000,1096000,1101000,405850,32000
2015-08-20,1163000,1171000,1130000,1139000,215507,41000
2015-08-19,1169000,1176000,1141000,1154000,400088,35000
2015-08-18,1118000,1141000,1117000,1131000,223321,24000
2015-08-17,1140000,1141000,1104000,1104000,225734,37000
2015-08-13,1153000,1153000,1138000,1140000,149454,15000
2015-08-12,1150000,1164000,1140000,1154000,222497,24000
2015-08-11,1151000,1179000,1148000,1157000,228498,31000
2015-08-10,1140000,1142000,1130000,1141000,114013,12000
2015-08-07,1120000,1137000,1115000,1136000,254834,22000
2015-08-06,1155000,1156000,1115000,1115000,400091,41000
2015-08-05,1182000,1182000,1158000,1159000,248883,24000
2015-08-04,1175000,1187000,1170000,1182000,188260,17000
2015-08-03,1184000,1184000,1166000,1175000,190332,18000
2015-07-31,1220000,1222000,1175000,1185000,370146,47000
2015-07-30,1258000,1260000,1215000,1215000,307189,45000
2015-07-29,1250000,1275000,1231000,1263000,272169,44000
2015-07-28,1224000,1251000,1219000,1230000,252036,32000
2015-07-27,1229000,1247000,1228000,1230000,198204,19000
2015-07-24,1227000,1238000,1224000,1229000,194869,14000
2015-07-23,1244000,1253000,1234000,1234000,198639,19000
2015-07-22,1244000,1260000,1235000,1253000,266557,25000
2015-07-21,1275000,1277000,1247000,1263000,193474,30000
2015-07-20,1291000,1304000,1273000,1275000,127872,31000
2015-07-17,1300000,1311000,1278000,1305000,296710,33000
2015-07-16,1223000,1287000,1223000,1282000,217793,64000
2015-07-15,1225000,1238000,1224000,1235000,166863,14000
2015-07-14,1265000,1270000,1221000,1225000,367936,49000
2015-07-13,1250000,1266000,1266000,1266000,153144,0
2015-07-10,1257000,1266000,1248000,1259000,174652,18000
2015-07-09,1230000,1265000,1226000,1265000,273889,39000
2015-07-08,1240000,1251000,1232000,1239000,215303,19000
2015-07-07,1220000,1259000,1220000,1240000,236882,39000
2015-07-06,1253000,1260000,1223000,1230000,195947,37000
2015-07-03,1287000,1294000,1267000,1268000,137705,27000
2015-07-02,1286000,1304000,1285000,1299000,151264,19000
2015-07-01,1268000,1302000,1259000,1295000,161559,43000
2015-06-30,1276000,1285000,1266000,1268000,197016,19000
2015-06-29,1269000,1285000,1256000,1281000,229023,29000
2015-06-26,1252000,1290000,1252000,1278000,206209,38000
2015-06-25,1290000,1303000,1269000,1269000,202288,34000
2015-06-24,1300000,1311000,1291000,1302000,195381,20000
2015-06-23,1309000,1328000,1291000,1321000,201743,37000
2015-06-22,1291000,1296000,1276000,1281000,124510,20000
2015-06-19,1266000,1278000,1260000,1266000,140114,18000
2015-06-18,1259000,1279000,1251000,1265000,153150,28000
2015-06-17,1250000,1266000,1240000,1254000,188735,26000
2015-06-16,1270000,1274000,1245000,1255000,254579,29000
2015-06-15,1255000,1274000,1255000,1270000,124242,19000
2015-06-12,1278000,1287000,1264000,1277000,214484,23000
2015-06-11,1263000,1274000,1253000,1257000,304790,21000
2015-06-10,1282000,1294000,1262000,1262000,249342,32000
2015-06-09,1300000,1310000,1268000,1282000,272092,42000
2015-06-08,1345000,1347000,1313000,1314000,197010,34000
2015-06-05,1325000,1355000,1320000,1341000,191117,35000
2015-06-04,1315000,1341000,1305000,1337000,387249,36000
2015-06-03,1303000,1316000,1265000,1273000,232650,51000
2015-06-02,1300000,1303000,1288000,1303000,174332,15000
2015-06-01,1300000,1301000,1288000,1291000,197323,13000
2015-05-29,1320000,1321000,1297000,1307000,336489,24000
2015-05-28,1317000,1321000,1301000,1309000,294025,20000
2015-05-27,1360000,1366000,1313000,1314000,340833,53000
2015-05-26,1366000,1369000,1336000,1362000,193453,33000
2015-05-22,1353000,1353000,1335000,1350000,163630,18000
2015-05-21,1371000,1372000,1344000,1352000,144012,28000
2015-05-20,1349000,1370000,1341000,1366000,205133,29000
2015-05-19,1321000,1355000,1307000,1338000,173093,48000
2015-05-18,1335000,1335000,1309000,1320000,181137,26000
2015-05-15,1355000,1356000,1321000,1326000,177644,35000
2015-05-14,1341000,1343000,1328000,1340000,168743,15000
2015-05-13,1349000,1349000,1326000,1333000,196668,23000
2015-05-12,1345000,1353000,1324000,1331000,212069,29000
2015-05-11,1360000,1360000,1336000,1336000,190643,24000
2015-05-08,1366000,1370000,1338000,1338000,188063,32000
2015-05-07,1362000,1375000,1354000,1370000,192100,21000
2015-05-06,1390000,1391000,1356000,1362000,264689,35000
2015-05-04,1407000,1423000,1397000,1400000,160479,26000
2015-04-30,1385000,1418000,1379000,1410000,352409,39000
2015-04-29,1367000,1394000,1364000,1385000,217050,30000
2015-04-28,1390000,1400000,1359000,1366000,312394,41000
2015-04-27,1410000,1411000,1375000,1395000,329573,36000
2015-04-24,1449000,1455000,1400000,1410000,379744,55000
2015-04-23,1470000,1470000,1440000,1451000,184422,30000
2015-04-22,1444000,1473000,1436000,1461000,252671,37000
2015-04-21,1421000,1445000,1420000,1444000,236011,25000
2015-04-20,1446000,1448000,1423000,1430000,244792,25000
2015-04-17,1477000,1478000,1447000,1450000,198920,31000
2015-04-16,1462000,1477000,1447000,1477000,209588,30000
2015-04-15,1460000,1470000,1427000,1446000,269985,43000
2015-04-14,1485000,1485000,1465000,1474000,188257,20000
2015-04-13,1479000,1491000,1468000,1479000,203599,23000
2015-04-10,1480000,1494000,1478000,1490000,188420,16000
2015-04-09,1470000,1489000,1470000,1483000,169552,19000
2015-04-08,1470000,1485000,1460000,1479000,153728,25000
2015-04-07,1478000,1485000,1462000,1462000,186226,23000
2015-04-06,1443000,1490000,1435000,1470000,209848,55000
2015-04-03,1434000,1440000,1420000,1434000,122227,20000
2015-04-02,1434000,1440000,1423000,1434000,134403,17000
2015-04-01,1437000,1437000,1420000,1423000,143996,17000
2015-03-31,1449000,1452000,1430000,1441000,196149,22000
2015-03-30,1425000,1434000,1412000,1428000,146025,22000
2015-03-27,1415000,1448000,1415000,1421000,310159,33000
2015-03-26,1450000,1456000,1421000,1421000,411450,35000
2015-03-25,1487000,1488000,1472000,1485000,180093,16000
2015-03-24,1455000,1478000,1455000,1476000,171267,23000
2015-03-23,1462000,1474000,1458000,1467000,154858,16000
2015-03-20,1475000,1480000,1460000,1464000,242525,20000
2015-03-19,1510000,1510000,1470000,1470000,247559,40000
2015-03-18,1496000,1506000,1486000,1503000,243666,20000
2015-03-17,1470000,1500000,1460000,1497000,272124,40000
2015-03-16,1458000,1487000,1455000,1470000,179303,32000
2015-03-13,1461000,1479000,1455000,1457000,181823,24000
